2014-06-18T08:48:40.502+0100: 0.810: [GC [PSYoungGen: 31232K->4259K(35840K)] 31232K->4267K(115712K), 0.0083590 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-06-18T08:48:40.937+0100: 1.244: [GC [PSYoungGen: 35491K->4595K(67072K)] 35499K->6623K(146944K), 0.0083100 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-06-18T08:48:41.658+0100: 1.966: [GC [PSYoungGen: 67059K->4598K(67072K)] 69087K->13930K(146944K), 0.0151500 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-06-18T08:48:42.342+0100: 2.650: [GC [PSYoungGen: 67062K->4600K(129536K)] 76394K->22422K(209408K), 0.0156270 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-06-18T08:48:46.383+0100: 6.691: [GC [PSYoungGen: 129528K->4598K(129536K)] 147350K->33849K(209408K), 0.0209110 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-06-18T08:48:47.294+0100: 7.601: [GC [PSYoungGen: 129526K->19945K(233472K)] 158777K->107521K(321536K), 0.0299440 secs] [Times: user=0.05 sys=0.05, real=0.03 secs] 
2014-06-18T08:48:47.324+0100: 7.631: [Full GC [PSYoungGen: 19945K->0K(233472K)] [ParOldGen: 87576K->85822K(175104K)] 107521K->85822K(408576K) [PSPermGen: 46944K->46900K(83968K)], 0.1277660 secs] [Times: user=0.27 sys=0.00, real=0.12 secs] 
2014-06-18T08:48:48.296+0100: 8.604: [GC [PSYoungGen: 213504K->6496K(269824K)] 299326K->92318K(444928K), 0.0065780 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-06-18T08:48:49.005+0100: 9.312: [GC [PSYoungGen: 220000K->12832K(368640K)] 305822K->98662K(543744K), 0.0118950 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
2014-06-18T08:48:50.034+0100: 10.342: [GC [PSYoungGen: 332320K->22502K(371200K)] 418150K->108340K(546304K), 0.0150430 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-06-18T08:48:51.087+0100: 11.394: [GC [PSYoungGen: 341990K->31526K(461312K)] 427828K->117372K(636416K), 0.0205470 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-06-18T08:48:52.191+0100: 12.499: [GC [PSYoungGen: 443174K->42758K(463360K)] 529020K->128604K(638464K), 0.0253640 secs] [Times: user=0.07 sys=0.02, real=0.03 secs] 
2014-06-18T08:48:53.247+0100: 13.555: [GC [PSYoungGen: 454406K->41286K(594944K)] 540252K->140429K(770048K), 0.0323000 secs] [Times: user=0.10 sys=0.02, real=0.03 secs] 
2014-06-18T08:48:59.729+0100: 20.036: [GC [PSYoungGen: 579398K->60403K(598528K)] 678541K->208244K(773632K), 0.0592240 secs] [Times: user=0.14 sys=0.05, real=0.06 secs] 
2014-06-18T08:48:59.788+0100: 20.096: [Full GC [PSYoungGen: 60403K->24609K(598528K)] [ParOldGen: 147841K->175021K(294912K)] 208244K->199630K(893440K) [PSPermGen: 49302K->49297K(83968K)], 0.3655190 secs] [Times: user=1.10 sys=0.01, real=0.37 secs] 
2014-06-18T08:49:10.020+0100: 30.328: [GC [PSYoungGen: 562721K->44894K(714240K)] 737813K->223846K(1009152K), 0.0641080 secs] [Times: user=0.14 sys=0.02, real=0.07 secs] 
2014-06-18T08:49:11.747+0100: 32.054: [GC [PSYoungGen: 713054K->32933K(755200K)] 892088K->211967K(1050112K), 0.0269170 secs] [Times: user=0.07 sys=0.02, real=0.03 secs] 
2014-06-18T08:49:13.382+0100: 33.690: [GC [PSYoungGen: 701093K->52763K(910336K)] 880127K->231796K(1205248K), 0.0337380 secs] [Times: user=0.11 sys=0.02, real=0.03 secs] 
2014-06-18T08:49:15.931+0100: 36.238: [GC [PSYoungGen: 881179K->76281K(912384K)] 1060212K->255315K(1207296K), 0.0576030 secs] [Times: user=0.15 sys=0.01, real=0.05 secs] 
2014-06-18T08:49:18.013+0100: 38.321: [GC [PSYoungGen: 904697K->94184K(1052672K)] 1083731K->280481K(1347584K), 0.0613770 secs] [Times: user=0.18 sys=0.05, real=0.06 secs] 
2014-06-18T08:49:20.657+0100: 40.964: [GC [PSYoungGen: 1052648K->110278K(1070080K)] 1238945K->310562K(1364992K), 0.0721170 secs] [Times: user=0.21 sys=0.04, real=0.07 secs] 
2014-06-18T08:49:35.049+0100: 55.356: [GC [PSYoungGen: 1068742K->89050K(1248256K)] 1269026K->295049K(1543168K), 0.0626030 secs] [Times: user=0.18 sys=0.02, real=0.07 secs] 
